Rank,hand,WinningProbability,Opponent,tie
132,92s,0.398967347,0.551942857,0.049089796
133,76o,0.396795918,0.550183673,0.053020408
134,T2o,0.393685714,0.55775102,0.048563265
135,74s,0.389387755,0.555640816,0.054971429
136,85o,0.386881633,0.560118367,0.053
137,64s,0.386697959,0.556391837,0.056910204
138,54s,0.385767347,0.556734694,0.057497959
139,83s,0.384387755,0.564612245,0.051
140,94o,0.382453061,0.566310204,0.051236735
141,82s,0.376702041,0.572253061,0.051044898
142,75o,0.375710204,0.568322449,0.055967347
143,93o,0.375485714,0.57184898,0.052665306
144,65o,0.372061224,0.570526531,0.057412245
145,73s,0.37155102,0.574432653,0.054016327
146,53s,0.370155102,0.57224898,0.057595918
147,63s,0.366383673,0.577497959,0.056118367
148,84o,0.366277551,0.579910204,0.053812245
149,92o,0.363604082,0.585795918,0.0506
150,43s,0.357093878,0.584767347,0.058138776
151,74o,0.355395918,0.587293878,0.057310204
152,72s,0.354502041,0.591914286,0.053583673
153,54o,0.351571429,0.58677551,0.061653061
154,52s,0.34984898,0.59217551,0.05797551
155,62s,0.349322449,0.594795918,0.055881633
156,64o,0.349297959,0.59155102,0.05915102
157,83o,0.348979592,0.596669388,0.05435102
158,42s,0.342595918,0.600118367,0.057285714
159,82o,0.339934694,0.606497959,0.053567347
160,73o,0.337844898,0.604073469,0.058081633
161,32s,0.334628571,0.608461224,0.056910204
162,63o,0.332644898,0.607942857,0.059412245
163,53o,0.3312,0.607134694,0.061665306
164,43o,0.322555102,0.615285714,0.062159184
165,72o,0.317522449,0.625840816,0.056636735
166,52o,0.314208163,0.62402449,0.061767347
167,62o,0.312681633,0.627853061,0.059465306
168,42o,0.302934694,0.63664898,0.060416327
169,32o,0.292734694,0.646759184,0.060506122
